;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
8703315;7112322698;GPL4369;NY;PAS;06/11/2014;71;VAN;CHEVR;T;56740;12550;63820;20160605;46.0;46;46;357682;T201;M;0718A;;BX;F;1810;Palisade Pl;;0.0;408.0;j6;;YYYYYYY;;;BL;;2002.0;;0.0;B 21;71A-Insp Sticker Expired (NYS);;;
594546;7894366031;42317JM;NY;COM;08/16/2013;69;VAN;CHEVR;T;34630;10410;10510;88888888;14.0;14;14;345531;T106;F;0914A;;NY;F;44;W 43rd St;;0.0;408.0;h1;;Y;0700A;0600P;WHITE;;1994.0;;0.0;01 -;69-Failure to Disp Muni Recpt;;;
7421366;7983095041;63674JM;NY;COM;04/28/2014;14;VAN;INTER;T;18430;45590;16400;88888888;19.0;19;19;355052;T103;L;0139P;;NY;F;531;E 72nd St;;0.0;408.0;c;;YYYYYYY;;;BROWN;;1997.0;;0.0;A 77;14-No Standing;;;
5444793;1358908114;22079MD;NY;COM;02/18/2014;18;DELV;ISUZU;P;67030;44430;40930;20151231;67.0;67;135;916120;0135;0000;0316P;;Q;F;2124;NOSTRAND AVE;;0.0;408.0;F4;;YYYYYYB;0200P;0700P;WT;0.0;0.0;-;0.0;;;;;
7385618;5080285515;GFG1274;NY;PAS;04/26/2014;7;4DSD;VOLKS;V;0;0;0;0;;0;0;0;;;0505P;;;;;ATLANTIC AVE (W/B) @;PENNSYLVANIA AVE;0.0;1111.0;D;T;;;;RD;;2004.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
8301157;7190766972;PO9928A;GA;PAS;05/28/2014;38;4DSD;SAAB;T;15040;35780;20390;20141188;112.0;112;112;358589;T401;I;0258P;;Q;O;109-33;71st Rd;;0.0;408.0;h1;;Y;0900A;0700P;BLUE;;0.0;;0.0;57-P;38-Failure to Display Muni Rec;;;
7865102;8001502417;GGC8943;NY;PAS;05/12/2014;71;4DSD;INFIN;T;19170;0;0;20150428;23.0;23;23;356244;T103;X;0828A;;NY;I;S;E 110th St;45ft E/of 5th Ave;0.0;408.0;j6;;YYYYYYY;;;GY;;2007.0;;0.0;C 77;71A-Insp Sticker Expired (NYS);;;
7702273;7699084834;EWE1878;NY;PAS;05/06/2014;20;4DSD;NISSA;T;9030;0;0;20151014;72.0;72;72;356956;T302;G;1219P;;K;I;E;49th St;40ft S/of 7th Ave;0.0;408.0;d;;YYYYYYY;;;BK;;2010.0;;0.0;43 3;20A-No Parking (Non-COM);;;
7426768;1365850470;12441668;GA;PAS;04/12/2014;40;VAN;PLYMO;P;81930;52130;94730;20140509;83.0;83;83;943383;0083;0000;1213A;;K;F;313;STOCKHOLM ST;;0.0;408.0;C3;;BBBBBBB;ALL;ALL;GRAY;0.0;0.0;-;0.0;;;;;
162020;7911074719;L10417;CT;CMB;07/31/2013;42;VAN;FORD;T;10210;17850;17870;88880088;17.0;17;17;357719;T102;F;0909A;;NY;F;694;3rd Ave;;0.0;408.0;h1;;Y;0700A;0400P;YELLO;;0.0;143-5594;0.0;33 -;42-Exp. Muni-Mtr (Com. Mtr. Z);;;
244472;7512329362;DJR2200;NY;PAS;08/02/2013;21;4DSD;NISSA;T;66830;95030;19530;88888888;94.0;94;94;350410;T802;B;0025A;;K;O;103;N 12th St;;0.0;408.0;d1;;Y  Y;1200A;0300A;BROWN;;0.0;;0.0;A -;21-No Parking (street clean);;;
4324489;7332353982;61243MA;NY;COM;01/30/2014;14;DELV;INTER;T;57790;67470;56040;88888888;111.0;111;111;358121;T401;N;0437P;;Q;F;254-18;Northern Blvd;;0.0;408.0;c;;YYYYY;0400P;0700P;BROWN;;1996.0;;0.0;X -;14-No Standing;;;
2633603;7333882860;CLB6777;NY;PAS;10/26/2013;21;PICK;DODGE;T;10910;0;0;20150528;34.0;34;34;355134;T103;B;0650A;;NY;I;E;9th Ave;45ft N/of W 219th St;0.0;408.0;d1;;Y;0600A;0730A;WH;;2002.0;;0.0;CC3;21-No Parking (street clean);;;
8971854;7355450621;97003JM;NY;COM;06/20/2014;38;VAN;FORD;T;15710;35570;35590;20140831;20.0;20;20;359620;T103;N;0534P;;NY;F;620;Columbus Ave;;0.0;408.0;h1;;YYYYY;1000A;0700P;BLUE;;2008.0;;0.0;53 7;38-Failure to Display Muni Rec;;;
1040326;7098726849;GDY5104;NY;PAS;09/03/2013;14;4DSD;TOYOT;T;44290;65130;41460;20141219;112.0;112;112;340066;T401;M;0743A;;Q;O;67-27;Exeter St;;0.0;408.0;c;;YYYYY;0700A;0500P;WH;;2006.0;;0.0;K -;14-No Standing;;;
7981896;7805562295;FEC3310;NY;PAS;05/15/2014;38;SUBN;CHEVR;T;11710;14210;35990;20140908;26.0;26;26;358869;T103;K;0500P;;NY;O;1022;Amsterdam Ave;;0.0;408.0;h1;;Y;0830A;0700P;BL;;0.0;;0.0;A 77;38-Failure to Display Muni Rec;;;
3070299;1362366353;XY829Y;NJ;PAS;11/11/2013;46;DELV;ISUZU;P;0;40404;40404;0;32.0;32;32;907041;0032;0000;0150P;;NY;F;598;LENOX;;0.0;408.0;F1;;BBBBBBB;ALL;ALL;WHITE;0.0;0.0;-;0.0;;;;;
2236162;7188740616;EPF1121;NY;PAS;10/12/2013;38;4DSD;TOYOT;T;74960;50730;14920;20150329;50.0;50;50;358656;T201;C;0902A;;BX;F;185;W 231st St;;0.0;408.0;h1;;Y;0800A;0700P;BLACK;;2006.0;;0.0;20 -;38-Failure to Display Muni Rec;;;
386128;7238235353;R445658;IL;PAS;08/08/2013;38;4DSD;INFIN;T;6980;10880;19030;20140288;62.0;62;62;355565;T302;A;0930A;;K;F;8606;19th Ave;;0.0;408.0;h1;;Y;0900A;0700P;BLACK;;0.0;;0.0;27 -;38-Failure to Display Muni Rec;;;
4721938;7096339152;FZL8677;NY;PAS;12/03/2013;71;4DSD;HONDA;T;64290;7990;37290;20141114;114.0;114;114;358588;T401;F;1235P;;Q;F;31-64;Steinway St;;0.0;408.0;j6;;YYYYYYY;;;BR;;2006.0;;0.0;31 -;71A-Insp Sticker Expired (NYS);;;
7416165;7833874449;33697PC;NY;IRP;04/28/2014;21;FLAT;FRUEH;T;17630;25390;27790;20150331;14.0;14;14;331220;T102;A;0613A;;NY;O;44;E 32nd St;;0.0;408.0;d1;;Y  Y;0600A;0630A;WHITE;;0.0;;0.0;E 17;21-No Parking (street clean);;;
9069438;7088394704;GKR8188;NY;PAS;06/25/2014;37;2DSD;LEXUS;T;14380;0;0;20150612;62.0;62;62;357091;T302;N;1034A;1025A;K;I;E;Avenue P;10ft N/of Coney Isla;0.0;408.0;h1;;Y;0800A;0700P;WH;;1997.0;354-3100;0.0;05 3;37-Expired Muni Meter;;;
1815935;7271591989;W58DFR;NJ;PAS;09/30/2013;38;2DSD;SAAB;T;26790;21690;13810;88888888;1.0;1;1;358847;T105;D;0852P;;NY;F;161;Mott St;;0.0;408.0;h1;;Y;0900A;1000P;SILVE;;0.0;;0.0;002;38-Failure to Display Muni Rec;;;
9018901;7909567789;NB567Y;NJ;PAS;06/23/2014;37;4DSD;CHEVR;T;10810;34290;34310;88888888;10.0;10;10;357078;T102;D;0949A;0902A;NY;F;345;8th Ave;;0.0;408.0;h1;;Y;0800A;0700P;RED;;0.0;144-3772;0.0;12 6;37-Expired Muni Meter;;;
1813235;7083295475;GDM7615;NY;OMS;09/30/2013;20;SUBN;CHEVR;T;44890;13810;30790;20140930;1.0;1;1;349538;T105;H;0502P;;NY;O;402;W Broadway;;0.0;408.0;d;;YYYYY;0800A;0600P;BK;;2013.0;;0.0;001;20A-No Parking (Non-COM);;;
1406732;1361247848;UGOSON;NY;SRF;09/15/2013;67;SUBN;VOLVO;P;0;0;0;20150806;113.0;113;113;946517;0113;0000;0100A;;Q;;;C/O 117 RD;191 ST;0.0;408.0;F7;;BBBBBBB;ALL;ALL;GY;0.0;2004.0;-;0.0;;;;;
998143;1341436135;KTJ237;MS;PAS;08/31/2013;40;SUBN;;P;26030;52730;39830;20140430;75.0;75;75;940742;0075;0000;0852A;0852A;K;F;35;CHESTNUT ST;;0.0;408.0;J2;;BBBBBBB;ALL;ALL;BLK;0.0;0.0;-;0.0;;;;;
1022870;1314960192;DJD9022;NY;PAS;09/01/2013;19;SUBN;MERCU;P;0;0;0;20150804;71.0;71;71;907243;0071;0000;0703P;;K;F;849;ENY AVE;;0.0;408.0;C;;BBBBBBB;ALL;ALL;BK;0.0;2004.0;-;0.0;;;;;
2152942;7033377344;GAD1903;NY;PAS;10/10/2013;38;4DSD;ACURA;T;10020;27840;71220;20140617;52.0;52;52;358141;T201;G;0530P;;BX;F;3205;Bainbridge Ave;;0.0;408.0;h1;;Y;0900A;0700P;TN;;2004.0;;0.0;31 -;38-Failure to Display Muni Rec;;;
5044696;7047753795;21628BB;NY;OMR;12/27/2013;19;BUS;FORD;T;11610;16410;14010;20140228;5.0;5;5;358599;T101;F;0451P;;NY;F;11;Allen St;;0.0;408.0;c3;;YYYYYYY;;;RED;;0.0;;0.0;58 -;19-No Stand (bus stop);;;
2409680;7560751441;5217TBK;NY;PAS;10/19/2013;71;4DSD;MERCU;T;59990;15490;15690;20140811;112.0;112;112;357687;T401;A;1041A;;Q;F;110-78;Queens Blvd;;0.0;408.0;j6;;YYYYYYY;;;TAN;;1995.0;;0.0;61-A;71A-Insp Sticker Expired (NYS);;;
8410911;7380644634;CJG8626;NY;PAS;05/31/2014;20;SUBN;FORD;T;76950;67620;67920;20150528;43.0;43;43;332373;T801;B;1120P;;BX;F;1822;Westchester Ave;;0.0;408.0;d;;YYYYYYY;;;RED;;0.0;;0.0;D 21;20A-No Parking (Non-COM);;;
5813546;7702337254;87840KA;NY;COM;03/03/2014;14;DELV;NS/OT;T;14880;35430;35480;20140731;61.0;61;61;358242;T302;B;0209P;;K;F;1400;Avenue Z;;0.0;408.0;c;;YYYYYYY;;;GREEN;;2003.0;;0.0;46 3;14-No Standing;;;
3099541;7307393645;63073JM;NY;COM;11/12/2013;17;DELV;GMC;T;18590;27790;24890;88888888;19.0;19;19;356214;T103;O;1006A;;NY;F;142;E 80th St;;0.0;408.0;c4;;Y;0700A;0700P;BROWN;;1988.0;;0.0;08 -;17-No Stand (exc auth veh);;;
791506;7712358023;ERD5387;NY;PAS;08/23/2013;40;SUBN;NISSA;T;27790;18510;18530;20150830;19.0;19;19;333163;T503;B1;0931A;;NY;O;850;Park Ave;;0.0;408.0;e2;;YYYYYYY;;;RD;;1996.0;;0.0;17 -;40-Fire Hydrant;;;
7247132;7779926837;FYK8481;NY;PAS;04/11/2014;21;SUBN;FORD;T;68020;0;0;20140510;42.0;42;42;355206;T201;M;0742A;;BX;I;W;3rd Ave;5ft S/of E 165th St;0.0;408.0;d1;;Y  Y;0730A;0800A;BLUE;;2004.0;;0.0;G 21;21-No Parking (street clean);;;
8010916;7565885356;FWL5395;NY;PAS;05/16/2014;38;VAN;CHEVR;T;77150;47520;57720;20151205;49.0;49;49;358935;T202;E;1226P;;BX;F;2173;White Plains Rd;;0.0;408.0;h1;;Y;0900A;0700P;OTHER;;2002.0;;0.0;01A;38-Failure to Display Muni Rec;;;
2063879;7547924839;ESM2188;NY;PAS;10/07/2013;14;PICK;DODGE;T;77230;56530;81330;20150614;84.0;84;84;357326;T301;B;0350P;;K;F;20;Sidney Pl;;0.0;408.0;c;;YYYYYYY;;;GY;;2005.0;;0.0;05 -;14-No Standing;;;
8553956;7383184361;FTV8403;NY;PAS;06/05/2014;37;4DSD;NISSA;T;29620;49120;49520;20160217;48.0;48;48;359341;T201;J;0248P;0240P;BX;F;816;E Tremont Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2013.0;205-3018;0.0;57 2;37-Expired Muni Meter;;;
8942346;7436313769;9M64B;NY;OMT;06/19/2014;38;TAXI;FORD;T;60810;23110;24840;20150228;105.0;105;105;358116;T402;P;0146P;;Q;F;168-35;Rockaway Blvd;;0.0;408.0;h1;;Y;0900A;0700P;YW;;2013.0;;0.0;K 42;38-Failure to Display Muni Rec;;;
1581908;7076620406;GCM6237;NY;PAS;09/21/2013;37;SUBN;FORD;T;14630;35080;35130;20141130;62.0;62;62;357764;T302;E;0312P;0224P;K;F;712;Avenue U;;0.0;408.0;h1;;Y;0830A;0700P;WH;;2013.0;306-3050;0.0;33 -;37-Expired Muni Meter;;;
5862077;7037430195;61516MB;NY;COM;03/05/2014;42;PICK;DODGE;T;10510;34930;14490;20140731;18.0;18;18;358128;T503;E1;0140P;;NY;F;1426;6th Ave;;0.0;408.0;h1;;YYYYY;0700A;0400P;GY;;2012.0;143-3783;0.0;C 77;42-Exp. Muni-Mtr (Com. Mtr. Z);;;
4963386;7225957417;GEL2503;NY;PAS;12/30/2013;21;4DSD;NISSA;T;37280;56230;26230;20150314;67.0;67;67;358667;T302;O;0844A;;K;F;150;E 56th St;;0.0;408.0;d1;;Y  Y;0830A;1000A;GY;;1999.0;;0.0;28 -;21-No Parking (street clean);;;
8195559;7187890254;JDN6369;PA;PAS;05/23/2014;21;2DSD;MITSU;T;70200;76930;32600;20140088;60.0;60;60;332021;T302;L;1107A;;K;F;119;Pembroke St;;0.0;408.0;d1;;Y;1100A;0200P;ORANG;;0.0;;0.0;N 32;21-No Parking (street clean);;;
8716217;4600718987;FLW1249;NY;PAS;06/11/2014;36;SUBN;TOYOT;V;0;0;0;0;;0;0;0;;;0702A;;;;;NB RALPH AVE @ BEVER;LEY RD;0.0;1180.0;B;T;;;;GY;;2006.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
5289597;5072694409;CTL6361;NY;PAS;02/10/2014;7;;GMC;V;0;0;0;0;;0;0;0;;;0929A;;;;;NORTHERN BLVD.(E/B)@;48TH ST.-R2-3;0.0;1111.0;D;T;;;;GY;;0.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
6613314;7117132383;FSH4828;NY;OMS;03/29/2014;20;SUBN;FORD;T;26230;0;0;20140930;70.0;70;70;331331;T302;Q;0145P;;K;I;S;Church Ave;100ft E/of E 16th St;0.0;408.0;d;;YYYYYYY;;;BLACK;;2013.0;;0.0;C 32;20A-No Parking (Non-COM);;;
6948383;7985317958;53203JR;NY;COM;04/07/2014;14;DELV;INTER;T;34650;10510;13610;20140831;14.0;14;14;354205;T106;C;1059A;;NY;O;130;W 44th St;;0.0;408.0;c;;YYYYYYY;;;WHITE;;2004.0;;0.0;MC 9;14-No Standing;;;
3729429;7868207190;GKR3942;NY;PAS;01/07/2014;16;SUBN;BMW;T;34850;0;0;20151124;19.0;19;19;331356;T501;J;0552P;;NY;I;S;W 54th St;40ft E/of Sutton Pl;0.0;408.0;k2;;YYYYY;0800A;0600P;BK;;2013.0;;0.0;04 -;16A-No Std (Com Veh) Non-COM;;;
3967229;7636213461;65756MD;NY;COM;01/15/2014;85;VAN;FORD;T;89230;0;0;20150814;90.0;90;90;354144;T802;B;0248A;1057P;K;I;W;Walton St;60ft N/of Union Ave;0.0;408.0;k5;;;;;WH;;1999.0;;0.0;03 -;85-Storage-3 hour Commercial;;;
3861525;7880265338;97356JM;NY;COM;01/11/2014;38;VAN;FORD;T;18110;0;0;20140831;18.0;18;18;345329;T106;C;0819A;;NY;I;S;E 56th St;130ft E/of 5th Ave;0.0;408.0;h1;;Y;0800A;1200A;WHITE;;1998.0;;0.0;42 -;38-Failure to Display Muni Rec;;;
8997989;7530345795;DNU7358;NY;PAS;06/21/2014;38;4DSD;NISSA;T;27530;0;0;20140628;84.0;84;84;358601;T301;G;1119A;;K;I;E;Clinton St;30ft S/of Pierrepont;0.0;408.0;h1;;Y;0800A;0700P;GY;;2003.0;;0.0;01 3;38-Failure to Display Muni Rec;;;
4252696;1366386942;16241TC;NY;COM;01/27/2014;45;;PETER;P;15710;35630;35650;20140430;24.0;24;24;929184;0024;0000;1050A;;;F;689;COLUMBUS AVE;;0.0;408.0;E1;;BBBBBBB;0  :;0  :;BL;0.0;2014.0;-;0.0;;;;;
6531351;5073140606;T626427C;NY;OMT;03/27/2014;7;4DSD;LINCO;V;0;0;0;0;;0;0;0;;;0944A;;;;;BORDEN AVE.(E/B)@GRE;ENPOINT AVE.-RT-2;0.0;1111.0;D;T;;;;BK;;2011.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
3161826;1360232254;GAX5506;NY;PAS;11/13/2013;50;SUBN;CHEVR;P;0;0;0;20140807;52.0;52;62;936337;0062;0000;0215P;;K;F;;S/E C/O BENSON AVE;BAY 8 STREET;0.0;408.0;F7;;BBBBBBB;ALL;ALL;BLK;0.0;2012.0;-;0.0;;;;;
1492286;7887880956;87745MC;NY;COM;09/18/2013;47;VAN;GMC;T;17350;23390;10210;20150831;13.0;13;13;355671;T102;B;0835A;;NY;F;143;E 18th St;;0.0;408.0;l2;;Y;0700A;0700P;WH;;2008.0;;0.0;16 -;47-Double PKG-Midtown;;;
597038;1359319931;EVM9659;NY;PAS;08/16/2013;21;SDN;TOYOT;S;5580;10830;10880;20131209;68.0;68;0;582845;KS10;0000;0812A;;K;F;8510;5 AVE;;0.0;408.0;D1;;YYYYYYB;0800A;0830A;BLACK;0.0;1995.0;-;0.0;;;;;
4225382;7029555480;JLK9536;PA;PAS;01/27/2014;20;SUBN;HONDA;T;69530;0;0;20141188;71.0;71;71;345534;T302;Q;0821A;;K;I;S;Parkside Ave;100ft W/of Nostrand;0.0;408.0;d;;YYYYY;0800A;0600P;BLUE;;0.0;;0.0;C -;20A-No Parking (Non-COM);;;
6727050;7095266554;GPF1467;NY;PAS;04/25/2014;20;4DSD;BMW;T;0;40404;40404;20160105;32.0;32;32;331733;T800;A2;0816P;;NY;F;2463;Frederick Douglass B;;0.0;408.0;d;;YYYYYYY;;;WH;;2002.0;;0.0;F 77;20A-No Parking (Non-COM);;;
6993051;7001028289;FZF1138;NY;PAS;04/17/2014;38;4DSD;BMW;T;8790;16990;17140;20150719;115.0;115;115;357347;T401;I;1252P;;Q;F;83-22;37th Ave;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2006.0;;0.0;51-A;38-Failure to Display Muni Rec;;;
1311850;7506240439;GEJ7593;NY;PAS;09/12/2013;20;4DSD;LEXUS;T;68930;20110;77730;20150304;84.0;84;84;356569;T301;B;1234P;;K;F;246;Pacific St;;0.0;408.0;d;;YYYYY;0800A;0600P;DKB;;2007.0;;0.0;01 -;20A-No Parking (Non-COM);;;
385396;4001618308;EDT1381;NY;PAS;08/08/2013;5;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;0731A;;;;;WB FORDHAM RD @ MARI;ON AVE;0.0;1111.0;C;T;;;;GY;;2008.0;;0.0;;BUS LANE VIOLATION;;;
1816514;7333873213;5M91A;NY;OMT;09/30/2013;21;TAXI;FORD;T;36270;13610;30850;20140228;26.0;26;26;355134;T103;B;0844A;;NY;O;624;W 125th St;;0.0;408.0;d1;;Y  Y;0830A;1000A;YW;;2011.0;;0.0;J -;21-No Parking (street clean);;;
6507848;7954701955;GKB7086;NY;PAS;03/26/2014;37;SUBN;HONDA;T;78830;40404;40404;20150908;90.0;90;90;347649;T301;D;0150P;0111P;K;F;236;South 9th St;;0.0;408.0;h1;;Y;0830A;0700P;BR;;2011.0;328-3034;0.0;14 3;37-Expired Muni Meter;;;
3835100;7000623093;CLN0347;DP;PAS;01/10/2014;38;SUBN;TOYOT;T;64290;7240;7540;20140988;114.0;114;114;358644;T401;R;0130P;;Q;F;25-70;Steinway St;;0.0;408.0;h1;;Y;0800A;0700P;SILVE;;0.0;;0.0;52-P;38-Failure to Display Muni Rec;;;
3133792;7127175160;53556JM;NY;COM;11/13/2013;19;UTIL;GMC;T;7790;7940;8140;88888888;114.0;114;114;355697;T401;Q;0155P;;Q;O;30-07;30th Ave;;0.0;408.0;c3;;YYYYYYY;;;WHITE;;0.0;;0.0;25 -;19-No Stand (bus stop);;;
7685445;7953468876;GMT7109;NY;PAS;05/06/2014;40;4DSD;INFIN;T;65620;26430;26490;20151217;40.0;40;40;353126;T201;M;0554A;;BX;F;839;St Anns Ave;;0.0;408.0;e2;;YYYYYYY;;;GY;;2004.0;;8.0;I 21;40-Fire Hydrant;;;
4633990;7930376898;81745JN;NY;COM;12/05/2013;21;DELV;INTER;T;12210;17110;17130;20131231;9.0;9;9;353998;T101;B;1110A;;NY;O;93;Avenue B;;0.0;408.0;d1;;Y  Y;1100A;1230A;WH;;2004.0;;0.0;20 -;21-No Parking (street clean);;;
9039192;7095575496;ZTX68Z;NJ;PAS;06/24/2014;14;4DSD;HYUND;T;34690;10410;10510;88888888;18.0;18;18;358204;T106;M;1131A;;NY;O;44;W 46th St;;0.0;408.0;c;;YYYYY;0700A;0600P;GREY;;0.0;;0.0;99 6;14-No Standing;;;
1210243;7388311490;86517JN;NY;COM;09/09/2013;71;UTIL;ISUZU;T;0;0;0;20131130;46.0;46;46;358129;T201;J;1148A;;BX;I;N;Aqueduct Ave;55ft E/of North St;0.0;408.0;j6;;YYYYYYY;;;WHITE;;2004.0;;0.0;52 -;71A-Insp Sticker Expired (NYS);;;
2972194;7875575590;XX231W;NJ;PAS;11/07/2013;40;DELV;ISUZU;T;17910;0;0;88880088;14.0;14;14;332133;T106;N;0226P;;NY;I;S;E 46th St;2ft E/of Park Ave;0.0;408.0;e2;;YYYYYYY;;;WHITE;;0.0;;0.0;78 -;40-Fire Hydrant;;;
3692186;7058950271;W85APP;NJ;PAS;01/06/2014;31;SUBN;ME/BE;T;34330;10510;10610;88888888;13.0;13;13;358857;T102;J;0421P;;NY;F;133;W 28th St;;0.0;408.0;l3;;YYYYY;0600A;0700P;BLACK;;0.0;;0.0;02 -;31-No Stand (Com. Mtr. Zone);;;
8108805;7477599842;28885ME;NY;COM;05/20/2014;82;VAN;ME/BE;T;30140;0;0;20160304;100.0;100;100;354034;T402;P;0332P;;Q;I;W;Beach 17th St;20ft N/of Seagirt Bl;0.0;408.0;k1;;;;;WH;;2013.0;;0.0;Q 42;82-Unaltered Commerc Vehicle;;;
